8/7/13	4935.08	5016.02
8/6/13	5005.67	4934.42
8/5/13	4925.77	4833.77
8/2/13	4825.27	4817.93
8/1/13	4795.01	4635.31
7/31/13	4623.88	4656.38
7/30/13	4627.23	4690.15
7/29/13	4682.08	4750.16
7/26/13	4782.70	4794.16
7/25/13	4817.64	4926.03
7/24/13	4921.46	4876.04
7/23/13	4888.48	4764.10
7/22/13	4745.65	4643.27
7/19/13	4680.66	4746.82
7/18/13	4747.66	4766.46
7/17/13	4780.90	4865.38
7/16/13	4882.22	4840.60
7/15/13	4819.08	4706.67
7/12/13	4691.33	4716.54
7/11/13	4719.74	4596.52
7/10/13	4591.29	4472.17
7/9/13	4470.47	4468.02
7/8/13	4470.55	4577.46
7/5/13	4650.12	4709.15
7/4/13	4701.72	4675.55
7/3/13	4712.50	4666.76
7/2/13	4671.04	4584.53
7/1/13	4583.06	4433.81
6/28/13	4456.56	4418.24
6/27/13	4454.26	4546.15
6/26/13	4536.06	4421.48
6/25/13	4391.74	4325.04
6/24/13	4375.60	4661.87
6/21/13	4674.72	4583.63
6/20/13	4683.81	4818.54
6/19/13	4856.44	4842.25
6/18/13	4864.48	4878.77
6/17/13	4875.24	4873.10
6/14/13	4857.52	4725.69
6/13/13	4719.62	4779.49
6/7/13	4843.13	4923.01
6/6/13	4921.61	4975.78
6/5/13	4990.17	4951.46
6/4/13	4958.83	5063.08
6/3/13	5069.23	5125.30
5/31/13	5131.98	5206.06
5/30/13	5198.16	5178.90
5/29/13	5196.07	5166.21
5/28/13	5157.45	5196.16
5/27/13	5194.15	5164.48
5/24/13	5157.08	5070.96
5/23/13	5067.58	5050.16
5/22/13	5069.29	5120.81
5/21/13	5125.66	5014.25
5/20/13	5021.99	4950.58
5/17/13	4935.78	4854.69
5/16/13	4853.74	4794.97
5/15/13	4804.20	4711.28
5/14/13	4710.40	4761.97
5/13/13	4765.58	4748.79
5/10/13	4750.96	4730.64
5/9/13	4742.63	4725.59
5/8/13	4732.11	4690.09
5/7/13	4679.17	4684.19
5/6/13	4694.29	4602.64
5/3/13	4594.76	4513.38
5/2/13	4503.34	4437.09
4/26/13	4481.20	4566.75
4/25/13	4573.56	4646.38
4/24/13	4665.75	4559.58
4/23/13	4561.81	4696.11
4/22/13	4692.58	4640.10
4/19/13	4658.77	4577.74
4/18/13	4571.72	4544.07
4/17/13	4561.43	4485.21
4/16/13	4489.07	4397.12
4/15/13	4437.33	4482.98
4/12/13	4497.90	4518.28
4/11/13	4519.63	4565.08
4/10/13	4549.87	4567.49
4/9/13	4570.20	4547.91
4/8/13	4538.68	4423.94
4/3/13	4478.41	4501.46
4/2/13	4498.44	4607.13
4/1/13	4611.90	4611.14
3/29/13	4614.60	4614.12
3/28/13	4610.57	4666.98
3/27/13	4704.58	4708.31
3/26/13	4711.27	4712.10
3/25/13	4730.95	4732.52
3/22/13	4723.53	4695.07
3/21/13	4699.43	4646.18
3/20/13	4646.13	4518.16
3/19/13	4516.68	4517.48
3/18/13	4511.80	4561.18
3/15/13	4578.31	4564.05
3/14/13	4564.71	4509.00
3/13/13	4518.12	4541.17
3/12/13	4548.35	4667.04
3/11/13	4671.15	4640.72
3/8/13	4647.40	4705.21
3/7/13	4702.45	4768.59
3/6/13	4784.67	4721.44
3/5/13	4708.95	4576.46
3/4/13	4577.63	4669.88
3/1/13	4706.83	4650.84
2/28/13	4656.51	4587.75
2/27/13	4576.44	4588.38
2/26/13	4579.80	4628.71
2/25/13	4649.52	4603.70
